Brand,Category,Unnamed: 2,text,Predicted_Category
Hana Bank South Korea,Financial/Investments,,Bought in Hana Bank South Korea for 100,Financial/Investments
Foreign Bank in North Korea,Financial/Investments,,Bought in Foreign Bank in North Korea for 100,Financial/Investments
BigBasket,Grocery,,Bought in BigBasket for 100,Shopping
Grofers (Blinkit),Grocery,,Bought in Grofers (Blinkit) for 100,Food / Dining
Amazon Fresh,Grocery,,Bought in Amazon Fresh for 100,Food / Dining
JioMart,Grocery,,Bought in JioMart for 100,Transport
Flipkart Supermart,Grocery,,Bought in Flipkart Supermart for 100,Entertainment
Instacart,Grocery,,Bought in Instacart for 100,Utility
Walmart Grocery,Grocery,,Bought in Walmart Grocery for 100,Food / Dining
Kroger,Grocery,,Bought in Kroger for 100,Food / Dining
Shipt,Grocery,,Bought in Shipt for 100,Transport
Ocado,Grocery,,Bought in Ocado for 100,Food / Dining
Tesco Grocery,Grocery,,Bought in Tesco Grocery for 100,Food / Dining
Carrefour,Grocery,,Bought in Carrefour for 100,Shopping
Sainsbury’s,Grocery,,Bought in Sainsbury’s for 100,Food / Dining
Asda Grocery,Grocery,,Bought in Asda Grocery for 100,Food / Dining
Pick n Pay Online,Grocery,,Bought in Pick n Pay Online for 100,Entertainment
Shoprite Online,Grocery,,Bought in Shoprite Online for 100,Entertainment
Woolworths Online,Grocery,,Bought in Woolworths Online for 100,Entertainment
Waitrose Online,Grocery,,Bought in Waitrose Online for 100,Entertainment
Carrefour UAE,Grocery,,Bought in Carrefour UAE for 100,Shopping
Spinneys UAE,Grocery,,Bought in Spinneys UAE for 100,Food / Dining
Choithrams UAE,Grocery,,Bought in Choithrams UAE for 100,Shopping
Tmall Grocery,Grocery,,Bought in Tmall Grocery for 100,Food / Dining
JD.com Grocery,Grocery,,Bought in JD.com Grocery for 100,Food / Dining
Hema (Freshippo),Grocery,,Bought in Hema (Freshippo) for 100,Utility
RedMart,Grocery,,Bought in RedMart for 100,Entertainment
FairPrice Online,Grocery,,Bought in FairPrice Online for 100,Entertainment
Amazon.sg Grocery,Grocery,,Bought in Amazon.sg Grocery for 100,Food / Dining
HappyFresh,Grocery,,Bought in HappyFresh for 100,Food / Dining
Tesco Online Malaysia,Grocery,,Bought in Tesco Online Malaysia for 100,Entertainment
RedMart Malaysia,Grocery,,Bought in RedMart Malaysia for 100,Grocery
Market Kurly,Grocery,,Bought in Market Kurly for 100,Food / Dining
Coupang Grocery,Grocery,,Bought in Coupang Grocery for 100,Food / Dining
Emart Online,Grocery,,Bought in Emart Online for 100,Entertainment
Korea Mart Online,Grocery,,Bought in Korea Mart Online for 100,Food / Dining
Pyongyang Food Delivery,Grocery,,Bought in Pyongyang Food Delivery for 100,Food / Dining
Instamart,Grocery,,Bought in Instamart for 100,Transport
Zepto,Grocery,,Bought in Zepto for 100,Utility
,,,Bought in nan for 100,Utility
,,,Bought in nan for 100,Utility
